"","V1"
"1","  TCP    0.0.0.0:7069           thig1:0                LISTENING"
"2","  TCP    0.0.0.0:8080           thig1:0                LISTENING"
"3","  TCP    0.0.0.0:49664          thig1:0                LISTENING"
"4","  TCP    0.0.0.0:49665          thig1:0                LISTENING"
"5","  TCP    0.0.0.0:49666          thig1:0                LISTENING"
"6","  TCP    0.0.0.0:49667          thig1:0                LISTENING"
"7","  TCP    0.0.0.0:49668          thig1:0                LISTENING"
"8","  TCP    0.0.0.0:49684          thig1:0                LISTENING"
"9","  TCP    0.0.0.0:49719          thig1:0                LISTENING"
"10","  TCP    10.0.0.41:139          thig1:0                LISTENING"
"11","  TCP    10.0.0.41:50259        bn3sch020010643:https  ESTABLISHED"
"12","  TCP    10.0.0.41:50334        msnbot-65-52-108-221:https  ESTABLISHED"
"13","  TCP    10.0.0.41:51048        151.101.65.69:http     TIME_WAIT"
"14","  TCP    10.0.0.41:51049        151.101.65.69:http     TIME_WAIT"
"15","  TCP    10.0.0.41:51050        192.0.73.2:https       TIME_WAIT"
"16","  TCP    10.0.0.41:51051        192.0.73.2:https       TIME_WAIT"
"17","  TCP    10.0.0.41:51052        192.0.73.2:https       TIME_WAIT"
"18","  TCP    10.0.0.41:51053        192.0.73.2:https       TIME_WAIT"
"19","  TCP    10.0.0.41:51054        192.0.73.2:https       TIME_WAIT"
"20","  TCP    10.0.0.41:51055        192.0.73.2:https       TIME_WAIT"
"21","  TCP    10.0.0.41:51069        a104-85-164-18:http    TIME_WAIT"
"22","  TCP    10.0.0.41:51073        151.101.65.69:http     TIME_WAIT"
"23","  TCP    10.0.0.41:51074        151.101.65.69:http     TIME_WAIT"
"24","  TCP    10.0.0.41:51080        lga15s49-in-f6:https   TIME_WAIT"
"25","  TCP    10.0.0.41:51081        lga15s49-in-f6:https   TIME_WAIT"
"26","  TCP    10.0.0.41:51085        lga15s49-in-f2:https   TIME_WAIT"
"27","  TCP    10.0.0.41:51087        lga15s49-in-f2:https   TIME_WAIT"
"28","  TCP    10.0.0.41:51095        65.55.44.109:https     ESTABLISHED"
"29","  TCP    10.0.0.41:51098        msnbot-64-4-54-18:https  TIME_WAIT"
"30","  TCP    10.0.0.41:51460        ec2-54-165-24-88:https  ESTABLISHED"
"31","  TCP    10.0.0.41:51462        ec2-52-207-181-90:https  ESTABLISHED"
"32","  TCP    10.0.0.41:51463        ec2-54-165-24-88:https  ESTABLISHED"
"33","  TCP    10.0.0.41:60417        ec2-52-206-32-179:https  ESTABLISHED"
"34","  TCP    10.0.0.41:61555        thig1:0                LISTENING"
"35","  TCP    10.0.0.41:62619        91.190.218.21:https    CLOSE_WAIT"
"36","  TCP    127.0.0.1:31946        thig1:0                LISTENING"
"37","  TCP    127.0.0.1:49688        thig1:0                LISTENING"
"38","  TCP    127.0.0.1:50299        thig1:0                LISTENING"
"39","  TCP    [::]:135               thig1:0                LISTENING"
"40","  TCP    [::]:445               thig1:0                LISTENING"
"41","  TCP    [::]:1521              thig1:0                LISTENING"
"42","  TCP    [::]:5357              thig1:0                LISTENING"
"43","  TCP    [::]:8080              thig1:0                LISTENING"
"44","  TCP    [::]:49664             thig1:0                LISTENING"
"45","  TCP    [::]:49665             thig1:0                LISTENING"
"46","  TCP    [::]:49666             thig1:0                LISTENING"
"47","  TCP    [::]:49667             thig1:0                LISTENING"
"48","  TCP    [::]:49668             thig1:0                LISTENING"
"49","  TCP    [::]:49684             thig1:0                LISTENING"
"50","  TCP    [::]:49719             thig1:0                LISTENING"
"51","  TCP    [::1]:49725            thig1:0                LISTENING"
"52","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:51047  lga15s47-in-x0e:https  TIME_WAIT"
"53","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:51099  lga15s44-in-x02:https  ESTABLISHED"
"54","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:51101  lga15s43-in-x02:https  ESTABLISHED"
"55","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:51102  lga15s43-in-x02:https  ESTABLISHED"
"56","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:62832  [2406:da00:ff00::36ad:bb45]:https  CLOSE_WAIT"
"57","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:62834  [2600:1408:24:19f::201a]:http  CLOSE_WAIT"
"58","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:62835  [2600:1408:24:182::201a]:http  CLOSE_WAIT"
"59","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:62837  [2406:da00:ff00::3655:55f6]:https  CLOSE_WAIT"
"60","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:62838  [2406:da00:ff00::3655:55f6]:https  CLOSE_WAIT"
"61","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:62839  [2406:da00:ff00::3655:55f6]:https  CLOSE_WAIT"
"62","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:62840  [2406:da00:ff00::3655:55f6]:https  CLOSE_WAIT"
"63","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:62841  [2600:1408:24:19a::bfb]:https  CLOSE_WAIT"
"64","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:62842  [2406:da00:ff00::3655:55f6]:https  CLOSE_WAIT"
"65","  TCP    [2601:98b:8200:51c1:a53d:3e2:b9df:afda]:62843  [2600:1408:24:19a::bfb]:https  CLOSE_WAIT"
"66","  TCP    [fe80::a53d:3e2:b9df:afda%4]:1521  thig1:49717            ESTABLISHED"
"67","  TCP    [fe80::a53d:3e2:b9df:afda%4]:49717  thig1:1521             ESTABLISHED"
"68","  UDP    0.0.0.0:3544           *:*                    "
"69","  UDP    0.0.0.0:3702           *:*                    "
"70","  UDP    0.0.0.0:3702           *:*                    "
"71","  UDP    0.0.0.0:3702           *:*                    "
"72","  UDP    0.0.0.0:3702           *:*                    "
"73","  UDP    0.0.0.0:3702           *:*                    "
"74","  UDP    0.0.0.0:3702           *:*                    "
"75","  UDP    0.0.0.0:5353           *:*                    "
"76","  UDP    0.0.0.0:5353           *:*                    "
"77","  UDP    0.0.0.0:5353           *:*                    "
"78","  UDP    0.0.0.0:5353           *:*                    "
"79","  UDP    0.0.0.0:5355           *:*                    "
"80","  UDP    0.0.0.0:7071           *:*                    "
"81","  UDP    0.0.0.0:55216          *:*                    "
"82","  UDP    0.0.0.0:56357          *:*                    "
"83","  UDP    0.0.0.0:57927          *:*                    "
"84","  UDP    0.0.0.0:58465          *:*                    "
"85","  UDP    0.0.0.0:58805          *:*                    "
"86","  UDP    10.0.0.41:137          *:*                    "
"87","  UDP    10.0.0.41:138          *:*                    "
"88","  UDP    10.0.0.41:1900         *:*                    "
"89","  UDP    10.0.0.41:56353        *:*                    "
"90","  UDP    10.0.0.41:61555        *:*                    "
"91","  UDP    10.0.0.41:63924        *:*                    "
"92","  UDP    127.0.0.1:1233         *:*                    "
"93","  UDP    127.0.0.1:1900         *:*                    "
"94","  UDP    127.0.0.1:56354        *:*                    "
"95","  UDP    [::]:3702              *:*                    "
"96","  UDP    [::]:3702              *:*                    "
"97","  UDP    [::]:3702              *:*                    "
"98","  UDP    [::]:3702              *:*                    "
"99","  UDP    [::]:3702              *:*                    "
"100","  UDP    [::]:3702              *:*                    "
"101","  UDP    [::]:5353              *:*                    "
"102","  UDP    [::]:5353              *:*                    "
"103","  UDP    [::]:5353              *:*                    "
"104","  UDP    [::]:5355              *:*                    "
"105","  UDP    [::]:55217             *:*                    "
"106","  UDP    [::]:56358             *:*                    "
"107","  UDP    [::]:57928             *:*                    "
"108","  UDP    [::]:58806             *:*                    "
"109","  UDP    [::1]:1900             *:*                    "
"110","  UDP    [::1]:56352            *:*                    "
"111","  UDP    [fe80::a53d:3e2:b9df:afda%4]:1900  *:*                    "
"112","  UDP    [fe80::a53d:3e2:b9df:afda%4]:56351  *:*                    "
