#TYPE Selected.System.Management.Automation.PSCustomObject
"P2","P3","P4","P5"
"Proto","Local","Address","Foreign"
"TCP","0.0.0.0:135","thig1:0","LISTENING"
"TCP","0.0.0.0:445","thig1:0","LISTENING"
"TCP","0.0.0.0:1521","thig1:0","LISTENING"
"TCP","0.0.0.0:5357","thig1:0","LISTENING"
"TCP","0.0.0.0:7069","thig1:0","LISTENING"
"TCP","0.0.0.0:8080","thig1:0","LISTENING"
"TCP","0.0.0.0:49664","thig1:0","LISTENING"
"TCP","0.0.0.0:49665","thig1:0","LISTENING"
"TCP","0.0.0.0:49666","thig1:0","LISTENING"
"TCP","0.0.0.0:49667","thig1:0","LISTENING"
"TCP","0.0.0.0:49668","thig1:0","LISTENING"
"TCP","0.0.0.0:49684","thig1:0","LISTENING"
"TCP","0.0.0.0:49719","thig1:0","LISTENING"
"TCP","10.0.0.41:139","thig1:0","LISTENING"
"TCP","10.0.0.41:50259","bn3sch020010643:https","ESTABLISHED"
"TCP","10.0.0.41:50334","msnbot-65-52-108-221:https","ESTABLISHED"
"TCP","10.0.0.41:51460","ec2-54-165-24-88:https","ESTABLISHED"
"TCP","10.0.0.41:51462","ec2-52-207-181-90:https","ESTABLISHED"
"TCP","10.0.0.41:51463","ec2-54-165-24-88:https","ESTABLISHED"
"TCP","10.0.0.41:52225","a-0001:https","ESTABLISHED"
"TCP","10.0.0.41:52226","a-0001:https","ESTABLISHED"
"TCP","10.0.0.41:52227","a-0001:https","ESTABLISHED"
"TCP","10.0.0.41:52228","mail2:http","ESTABLISHED"
"TCP","10.0.0.41:52229","mail2:http","ESTABLISHED"
"TCP","10.0.0.41:52230","mail2:http","ESTABLISHED"
"TCP","10.0.0.41:52231","mail2:http","ESTABLISHED"
"TCP","10.0.0.41:52232","mail2:http","ESTABLISHED"
"TCP","10.0.0.41:52233","mail2:http","ESTABLISHED"
"TCP","10.0.0.41:52239","151.101.20.129:http","ESTABLISHED"
"TCP","10.0.0.41:52240","151.101.20.129:http","ESTABLISHED"
"TCP","10.0.0.41:52248","lga15s43-in-f2:http","ESTABLISHED"
"TCP","10.0.0.41:52249","lga15s43-in-f2:http","ESTABLISHED"
"TCP","10.0.0.41:52250","mail2:http","ESTABLISHED"
"TCP","10.0.0.41:52251","mail2:http","ESTABLISHED"
"TCP","10.0.0.41:52252","ec2-52-202-24-87:http","ESTABLISHED"
"TCP","10.0.0.41:52253","ec2-52-202-24-87:http","ESTABLISHED"
"TCP","10.0.0.41:52254","ec2-52-1-153-245:http","ESTABLISHED"
"TCP","10.0.0.41:52255","ec2-52-1-153-245:http","ESTABLISHED"
"TCP","10.0.0.41:52257","ec2-52-206-15-157:http","ESTABLISHED"
"TCP","10.0.0.41:52258","ec2-52-206-15-157:http","ESTABLISHED"
"TCP","10.0.0.41:52263","lga15s49-in-f2:https","ESTABLISHED"
"TCP","10.0.0.41:52264","lga15s49-in-f2:https","ESTABLISHED"
"TCP","10.0.0.41:52268","ec2-52-20-47-32:http","ESTABLISHED"
"TCP","10.0.0.41:52269","ec2-52-20-47-32:http","ESTABLISHED"
"TCP","10.0.0.41:52270","199.233.57.18:http","CLOSE_WAIT"
"TCP","10.0.0.41:52271","199.233.57.18:http","CLOSE_WAIT"
"TCP","10.0.0.41:52279","208.146.36.221:https","CLOSE_WAIT"
"TCP","10.0.0.41:52280","208.146.36.221:https","CLOSE_WAIT"
"TCP","10.0.0.41:52283","ec2-52-21-232-40:https","ESTABLISHED"
"TCP","10.0.0.41:52284","ec2-52-21-232-40:https","ESTABLISHED"
"TCP","10.0.0.41:52287","208.146.36.221:https","CLOSE_WAIT"
"TCP","10.0.0.41:52288","208.146.36.221:https","CLOSE_WAIT"
"TCP","10.0.0.41:52290","208.146.36.221:https","ESTABLISHED"
"TCP","10.0.0.41:52291","208.146.36.221:https","ESTABLISHED"
"TCP","10.0.0.41:52293","ec2-52-202-24-87:https","ESTABLISHED"
"TCP","10.0.0.41:52294","69.172.216.56:https","ESTABLISHED"
"TCP","10.0.0.41:52295","69.172.216.56:https","ESTABLISHED"
"TCP","10.0.0.41:52297","69.172.216.56:https","ESTABLISHED"
"TCP","10.0.0.41:52298","69.172.216.56:https","ESTABLISHED"
"TCP","10.0.0.41:52299","sc:https","ESTABLISHED"
"TCP","10.0.0.41:52300","sc:https","ESTABLISHED"
"TCP","10.0.0.41:52301","lga25s41-in-f6:https","ESTABLISHED"
"TCP","10.0.0.41:52302","lga25s41-in-f6:https","ESTABLISHED"
"TCP","10.0.0.41:52303","sc:https","ESTABLISHED"
"TCP","10.0.0.41:52304","69.172.216.111:https","ESTABLISHED"
"TCP","10.0.0.41:52305","69.172.216.111:https","ESTABLISHED"
"TCP","10.0.0.41:52306","69.172.216.111:https","ESTABLISHED"
"TCP","10.0.0.41:52307","69.172.216.111:https","ESTABLISHED"
"TCP","10.0.0.41:52312","a104-112-150-184:https","ESTABLISHED"
"TCP","10.0.0.41:52313","a104-112-150-184:https","ESTABLISHED"
"TCP","10.0.0.41:52314","a104-112-150-184:https","ESTABLISHED"
"TCP","10.0.0.41:52315","lga15s45-in-f2:https","ESTABLISHED"
"TCP","10.0.0.41:52316","lga15s45-in-f2:https","ESTABLISHED"
"TCP","10.0.0.41:52317","lga15s45-in-f2:https","ESTABLISHED"
"TCP","10.0.0.41:52319","a104-112-150-184:https","ESTABLISHED"
"TCP","10.0.0.41:52320","lga15s45-in-f2:https","ESTABLISHED"
"TCP","10.0.0.41:52321","a23-196-107-190:https","ESTABLISHED"
"TCP","10.0.0.41:52322","a23-196-107-190:https","ESTABLISHED"
"TCP","10.0.0.41:52323","a23-196-107-190:https","ESTABLISHED"
"TCP","10.0.0.41:52324","a23-196-107-190:https","ESTABLISHED"
"TCP","10.0.0.41:52325","ec2-54-210-88-35:https","ESTABLISHED"
"TCP","10.0.0.41:52326","ec2-54-210-88-35:https","ESTABLISHED"
"TCP","10.0.0.41:52327","ec2-54-210-88-35:https","ESTABLISHED"
"TCP","10.0.0.41:52328","ec2-54-210-88-35:https","ESTABLISHED"
"TCP","10.0.0.41:52329","a104-112-150-184:https","ESTABLISHED"
"TCP","10.0.0.41:52330","a104-112-150-184:https","ESTABLISHED"
"TCP","10.0.0.41:52331","69.172.216.55:https","ESTABLISHED"
"TCP","10.0.0.41:52332","69.172.216.55:https","ESTABLISHED"
"TCP","10.0.0.41:52333","69.172.216.55:https","ESTABLISHED"
"TCP","10.0.0.41:52334","69.172.216.55:https","ESTABLISHED"
"TCP","10.0.0.41:52337","192.229.163.174:https","ESTABLISHED"
"TCP","10.0.0.41:52338","192.229.163.174:https","ESTABLISHED"
"TCP","10.0.0.41:52339","192.229.163.174:https","ESTABLISHED"
"TCP","10.0.0.41:52340","192.229.163.174:https","ESTABLISHED"
"TCP","10.0.0.41:52341","192.229.163.174:https","ESTABLISHED"
"TCP","10.0.0.41:52342","192.229.163.174:https","ESTABLISHED"
"TCP","10.0.0.41:52343","lga15s48-in-f2:https","ESTABLISHED"
"TCP","10.0.0.41:52344","lga15s48-in-f2:https","ESTABLISHED"
"TCP","10.0.0.41:52345","lga15s48-in-f2:https","ESTABLISHED"
"TCP","10.0.0.41:52346","ec2-54-243-111-229:https","ESTABLISHED"
"TCP","10.0.0.41:52347","ec2-54-243-111-229:https","ESTABLISHED"
"TCP","10.0.0.41:52348","ec2-54-243-111-229:https","ESTABLISHED"
"TCP","10.0.0.41:52350","162.248.16.50:https","ESTABLISHED"
"TCP","10.0.0.41:52351","162.248.16.50:https","ESTABLISHED"
"TCP","10.0.0.41:60417","ec2-52-206-32-179:https","ESTABLISHED"
"TCP","10.0.0.41:62619","91.190.218.21:https","CLOSE_WAIT"
"TCP","127.0.0.1:31946","thig1:0","LISTENING"
"TCP","127.0.0.1:49688","thig1:0","LISTENING"
"TCP","127.0.0.1:50299","thig1:0","LISTENING"
"TCP","[::]:135","thig1:0","LISTENING"
"TCP","[::]:445","thig1:0","LISTENING"
"TCP","[::]:1521","thig1:0","LISTENING"
"TCP","[::]:5357","thig1:0","LISTENING"
"TCP","[::]:8080","thig1:0","LISTENING"
"TCP","[::]:49664","thig1:0","LISTENING"
"TCP","[::]:49665","thig1:0","LISTENING"
"TCP","[::]:49666","thig1:0","LISTENING"
"TCP","[::]:49667","thig1:0","LISTENING"
"TCP","[::]:49668","thig1:0","LISTENING"
"TCP","[::]:49684","thig1:0","LISTENING"
"TCP","[::]:49719","thig1:0","LISTENING"
"TCP","[::1]:49725","thig1:0","LISTENING"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52236","lga25s40-in-x02:http","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52237","lga25s40-in-x02:http","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52241","lga25s40-in-x02:http","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52242","lga25s40-in-x02:http","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52243","lga15s43-in-x0e:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52244","lga15s43-in-x0e:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52245","lga25s40-in-x02:https","ESTABLISHED"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52246","qg-in-x9c:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52247","qg-in-x9c:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52259","qo-in-x5f:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52260","qo-in-x5f:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52261","lga25s41-in-x02:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52262","lga25s41-in-x02:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52272","lga15s43-in-x01:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52273","lga15s43-in-x01:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52281","yb-in-x67:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52282","yb-in-x67:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52309","lga25s41-in-x06:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52310","lga25s41-in-x06:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52311","lga25s41-in-x06:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52318","lga25s41-in-x06:https","TIME_WAIT"
"TCP","[2601:98b:8200:51c1:a53d:3e2:b9df:afda]:52336","[2400:cb00:2048:1::c629:d744]:https","TIME_WAIT"
