#TYPE Selected.System.Management.Automation.PSCustomObject
"P2","P3","P4","P5"
"Proto","Local","Address","Foreign"
"TCP","0.0.0.0:80","thig1:0","LISTENING"
"TCP","0.0.0.0:135","thig1:0","LISTENING"
"TCP","0.0.0.0:445","thig1:0","LISTENING"
"TCP","0.0.0.0:5040","thig1:0","LISTENING"
"TCP","0.0.0.0:5500","thig1:0","LISTENING"
"TCP","0.0.0.0:8082","thig1:0","LISTENING"
"TCP","0.0.0.0:17500","thig1:0","LISTENING"
"TCP","0.0.0.0:49664","thig1:0","LISTENING"
"TCP","0.0.0.0:49665","thig1:0","LISTENING"
"TCP","0.0.0.0:49666","thig1:0","LISTENING"
"TCP","0.0.0.0:49667","thig1:0","LISTENING"
"TCP","0.0.0.0:49668","thig1:0","LISTENING"
"TCP","0.0.0.0:49669","thig1:0","LISTENING"
"TCP","0.0.0.0:49675","thig1:0","LISTENING"
"TCP","0.0.0.0:65451","thig1:0","LISTENING"
"TCP","10.0.0.76:139","thig1:0","LISTENING"
"TCP","10.0.0.76:2032","thig1:0","LISTENING"
"TCP","10.0.0.76:51007","40.122.34.18:https","ESTABLISHED"
"TCP","10.0.0.76:53018","lb-192-30-253-124-iad:https","ESTABLISHED"
"TCP","10.0.0.76:53098","ec2-52-7-182-237:https","CLOSE_WAIT"
"TCP","10.0.0.76:53175","162.125.18.133:https","ESTABLISHED"
"TCP","10.0.0.76:53184","162.125.18.133:https","ESTABLISHED"
"TCP","10.0.0.76:53185","162.125.34.6:https","CLOSE_WAIT"
"TCP","10.0.0.76:53195","72.21.91.29:http","CLOSE_WAIT"
"TCP","10.0.0.76:53196","185.199.111.154:https","ESTABLISHED"
"TCP","10.0.0.76:53252","iad23s41-in-f67:https","TIME_WAIT"
"TCP","10.0.0.76:53253","iad23s41-in-f67:https","TIME_WAIT"
"TCP","10.0.0.76:53254","52.114.132.22:https","ESTABLISHED"
"TCP","10.0.0.76:53258","iad23s41-in-f67:https","ESTABLISHED"
"TCP","10.0.0.76:53259","iad23s41-in-f67:https","ESTABLISHED"
"TCP","10.0.0.76:54744","40.122.27.40:https","CLOSE_WAIT"
"TCP","10.0.0.76:54785","md-in-44:https","CLOSE_WAIT"
"TCP","10.0.0.76:54788","104.25.27.33:https","CLOSE_WAIT"
"TCP","10.0.0.76:55376","65.52.108.76:https","ESTABLISHED"
"TCP","10.0.0.76:55612","52.173.24.17:https","ESTABLISHED"
"TCP","10.0.0.76:59221","40.122.32.58:https","CLOSE_WAIT"
"TCP","10.0.0.76:60053","adobe:https","CLOSE_WAIT"
"TCP","127.0.0.1:80","thig1:53266","ESTABLISHED"
"TCP","127.0.0.1:843","thig1:0","LISTENING"
"TCP","127.0.0.1:1521","thig1:0","LISTENING"
"TCP","127.0.0.1:1521","thig1:65450","ESTABLISHED"
"TCP","127.0.0.1:17600","thig1:0","LISTENING"
"TCP","127.0.0.1:23132","thig1:0","LISTENING"
"TCP","127.0.0.1:50911","thig1:0","LISTENING"
"TCP","127.0.0.1:53266","thig1:http","ESTABLISHED"
"TCP","127.0.0.1:61847","thig1:0","LISTENING"
