"stat_name","stat_val","stat_grp"
"IPv4 Statistics","IPv4 Statistics","IPv4 Statistics"
"Packets Received                   "," 1831855","IPv4 Statistics"
"Received Header Errors             "," 0","IPv4 Statistics"
"Received Address Errors            "," 25","IPv4 Statistics"
"Datagrams Forwarded                "," 0","IPv4 Statistics"
"Unknown Protocols Received         "," 0","IPv4 Statistics"
"Received Packets Discarded         "," 1148955","IPv4 Statistics"
"Received Packets Delivered         "," 727035","IPv4 Statistics"
"Output Requests                    "," 478318","IPv4 Statistics"
"Routing Discards                   "," 0","IPv4 Statistics"
"Discarded Output Packets           "," 5419","IPv4 Statistics"
"Output Packet No Route             "," 24","IPv4 Statistics"
"Reassembly Required                "," 0","IPv4 Statistics"
"Reassembly Successful              "," 0","IPv4 Statistics"
"Reassembly Failures                "," 0","IPv4 Statistics"
"Datagrams Successfully Fragmented  "," 0","IPv4 Statistics"
"Datagrams Failing Fragmentation    "," 0","IPv4 Statistics"
"Fragments Created                  "," 0","IPv4 Statistics"
"IPv6 Statistics","IPv6 Statistics","IPv6 Statistics"
"Packets Received                   "," 1231975","IPv6 Statistics"
"Received Header Errors             "," 0","IPv6 Statistics"
"Received Address Errors            "," 1872","IPv6 Statistics"
"Datagrams Forwarded                "," 0","IPv6 Statistics"
"Unknown Protocols Received         "," 0","IPv6 Statistics"
"Received Packets Discarded         "," 6987","IPv6 Statistics"
"Received Packets Delivered         "," 1233737","IPv6 Statistics"
"Output Requests                    "," 454140","IPv6 Statistics"
"Routing Discards                   "," 0","IPv6 Statistics"
"Discarded Output Packets           "," 15","IPv6 Statistics"
"Output Packet No Route             "," 27","IPv6 Statistics"
"Reassembly Required                "," 0","IPv6 Statistics"
"Reassembly Successful              "," 0","IPv6 Statistics"
"Reassembly Failures                "," 0","IPv6 Statistics"
"Datagrams Successfully Fragmented  "," 0","IPv6 Statistics"
"Datagrams Failing Fragmentation    "," 0","IPv6 Statistics"
"Fragments Created                  "," 0","IPv6 Statistics"
"TCP Statistics for IPv4","TCP Statistics for IPv4","TCP Statistics for IPv4"
"Active Opens                        "," 19359","TCP Statistics for IPv4"
"Passive Opens                       "," 1737","TCP Statistics for IPv4"
"Failed Connection Attempts          "," 1101","TCP Statistics for IPv4"
"Reset Connections                   "," 2704","TCP Statistics for IPv4"
"Current Connections                 "," 2","TCP Statistics for IPv4"
"Segments Received                   "," 500639","TCP Statistics for IPv4"
"Segments Sent                       "," 316679","TCP Statistics for IPv4"
"Segments Retransmitted              "," 35839","TCP Statistics for IPv4"
"TCP Statistics for IPv6","TCP Statistics for IPv6","TCP Statistics for IPv6"
"Active Opens                        "," 8778","TCP Statistics for IPv6"
"Passive Opens                       "," 164","TCP Statistics for IPv6"
"Failed Connection Attempts          "," 117","TCP Statistics for IPv6"
"Reset Connections                   "," 502","TCP Statistics for IPv6"
"Current Connections                 "," 6","TCP Statistics for IPv6"
"Segments Received                   "," 661763","TCP Statistics for IPv6"
"Segments Sent                       "," 293326","TCP Statistics for IPv6"
"Segments Retransmitted              "," 8010","TCP Statistics for IPv6"
"UDP Statistics for IPv4","UDP Statistics for IPv4","UDP Statistics for IPv4"
"Datagrams Received    "," 236462","UDP Statistics for IPv4"
"No Ports              "," 1133620","UDP Statistics for IPv4"
"Receive Errors        "," 13523","UDP Statistics for IPv4"
"Datagrams Sent        "," 131038","UDP Statistics for IPv4"
"UDP Statistics for IPv6","UDP Statistics for IPv6","UDP Statistics for IPv6"
"Datagrams Received    "," 396971","UDP Statistics for IPv6"
"No Ports              "," 3327","UDP Statistics for IPv6"
"Receive Errors        "," 3656","UDP Statistics for IPv6"
"Datagrams Sent        "," 152578","UDP Statistics for IPv6"
