#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","1","872","2199215493120","25985024","33546240","37112","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","76.34375","10.0.10586.0 (th2_release.151029-1700)","10.0.10586.0","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"1980","Microsoft.Win32.SafeHandles.SafeProcessHandle","872","5384",".","69320","How to run PowerShell command in R? - Stack Overflow ?- Microsoft Edge","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","37112","37112","33546240","33546240","491472","491472","35778560","35778560","34734080","34734080","197586944","2199220842496","True","Normal","33546240","33546240","00:00:52.3593750","ApplicationFrameHost","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:07:11 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:16.3437500","00:00:23.9843750","192237568","2199215493120","False",,,,"25985024","25985024",,
"armsvc","0","111","56795136","942080","1208320","7936",,,,,,,,"Process","8",,,,,,"111","2272",".","0","",,,,,"7936","7936","1208320","1208320","110192","110192","1732608","1732608","6098944","6098944","65970176","65970176",,,"1208320","1208320",,"armsvc",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"56795136","56795136","False",,,,"942080","942080",,
"AudioBox","1","206","136667136","2109440","25325568","33632","C:\Program Files\PreSonus\AudioBox\AudioBox.exe",,"0.390625",,,,,"Process","8",,"False",,"2016","Microsoft.Win32.SafeHandles.SafeProcessHandle","206","6332",".","0","","System.Diagnostics.ProcessModule (AudioBox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33632","33632","25325568","25325568","220768","220768","25763840","25763840","39694336","39694336","144531456","144531456","True","Normal","25325568","25325568","00:00:00.1875000","AudioBox","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:07:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3906250","00:00:00.2031250","136667136","136667136","False",,,,"2109440","2109440",,
"browser_broker","1","426","2233556275200","11202560","7090176","20312","C:\WINDOWS\system32\browser_broker.exe","Microsoft Corporation","3.125","11.00.10586.0 (th2_release.151029-1700)","11.00.10586.0","Browser_Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"2052","Microsoft.Win32.SafeHandles.SafeProcessHandle","426","5660",".","0","","System.Diagnostics.ProcessModule (browser_broker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20312","20312","7090176","7090176","340448","340448","7266304","7266304","27865088","27865088","190181376","2233573175296","True","Normal","7090176","7090176","00:00:02.2500000","browser_broker","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:07:12 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.1250000","00:00:00.8750000","173281280","2233556275200","False",,,,"11202560","11202560",,
"Calculator","1","378","299462656","458752","17809408","21520","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1608.2213.0_x64__8wekyb3d8bbwe\Calculator.exe","Microsoft Corporation","0.265625","10.1608.1608.08003","10.1608.160808003","Calculator.exe","Microsoft Calculator","Process","8",,"False",,"2084","Microsoft.Win32.SafeHandles.SafeProcessHandle","378","7316",".","919142","Calculator","System.Diagnostics.ProcessModule (Calculator.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21520","21520","17809408","17809408","418576","418576","20123648","20123648","45641728","45641728","302616576","302616576","True","Normal","17809408","17809408","00:00:00.0937500","Calculator","15","False","1","System.Diagnostics.ProcessStartInfo","9/14/2016 7:17:00 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2656250","00:00:00.1718750","299462656","299462656","False",,,,"458752","458752",,
"CAudioFilterAgent64","1","166","64684032","2531328","1654784","9568","C:\Program Files\CONEXANT\cAudioFilterAgent\CAudioFilterAgent64.exe","Conexant Systems, Inc.","0.421875","1.7.71.0","1.7.71.0","Conexant High Definition Audio Filter Agent","Conexant High Definition Audio Filter Agent","Process","8",,"False",,"2120","Microsoft.Win32.SafeHandles.SafeProcessHandle","166","5604",".","0","","System.Diagnostics.ProcessModule (CAudioFilterAgent64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9568","9568","1654784","1654784","119736","119736","1826816","1826816","7585792","7585792","66256896","66256896","True","Normal","1654784","1654784","00:00:00.3437500","CAudioFilterAgent64","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:07:18 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4218750","00:00:00.0781250","64684032","64684032","False",,,,"2531328","2531328",,
"chrome","1","1669","782077952","54812672","126955520","70488","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","747.890625","52.0.2743.116","52.0.2743.116","Google Chrome","Google Chrome","Process","8",,"False",,"2148","Microsoft.Win32.SafeHandles.SafeProcessHandle","1669","996",".","460436","Index. ggplot2 2.1.0 - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","70488","70488","126955520","126955520","1364192","1364192","131452928","131452928","126922752","126922752","858038272","858038272","True","Normal","126955520","126955520","00:03:34.1250000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:07:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:12:27.8906250","00:08:53.7656250","782077952","782077952","False",,,,"54812672","54812672",,
"chrome","1","367","576249856","47525888","145403904","44592","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","391.703125","52.0.2743.116","52.0.2743.116","Google Chrome","Google Chrome","Process","4",,"False",,"2180","Microsoft.Win32.SafeHandles.SafeProcessHandle","367","1316",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","44592","44592","145403904","145403904","677416","677416","185466880","185466880","234475520","234475520","615702528","615702528","True","Idle","145403904","145403904","00:00:37.1875000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 10:11:01 PM",,"System.Diagnostics.ProcessThreadCollection","00:06:31.7031250","00:05:54.5156250","576249856","576249856","False",,,,"47525888","47525888",,
"chrome","1","264","266186752","22806528","52817920","27320","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","189.296875","52.0.2743.116","52.0.2743.116","Google Chrome","Google Chrome","Process","4",,"False",,"2212","Microsoft.Win32.SafeHandles.SafeProcessHandle","264","5712",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27320","27320","52817920","52817920","324128","324128","76627968","76627968","83828736","83828736","272740352","272740352","True","Idle","52817920","52817920","00:00:31.9687500","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:29:59 PM",,"System.Diagnostics.ProcessThreadCollection","00:03:09.2968750","00:02:37.3281250","266186752","266186752","False",,,,"22806528","22806528",,
"chrome","1","179","80494592","1515520","1560576","9328","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.078125","52.0.2743.116","52.0.2743.116","Google Chrome","Google Chrome","Process","8",,"False",,"2244","Microsoft.Win32.SafeHandles.SafeProcessHandle","179","6260",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9328","9328","1560576","1560576","146392","146392","1622016","1622016","6221824","6221824","81805312","81805312","True","Normal","1560576","1560576","00:00:00.0312500","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:07:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0468750","80494592","80494592","False",,,,"1515520","1515520",,
