#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AudioBox","1","206","136667136","2428928","25325568","33632","C:\Program Files\PreSonus\AudioBox\AudioBox.exe",,"0.40625",,,,,"Process","8",,"False",,"1992","Microsoft.Win32.SafeHandles.SafeProcessHandle","206","6332",".","0","","System.Diagnostics.ProcessModule (AudioBox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33632","33632","25325568","25325568","220768","220768","25763840","25763840","39694336","39694336","144531456","144531456","True","Normal","25325568","25325568","00:00:00.2031250","AudioBox","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:07:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4062500","00:00:00.2031250","136667136","136667136","False",,,,"2428928","2428928",,
"browser_broker","1","427","2233556996096","17559552","7225344","20720","C:\WINDOWS\system32\browser_broker.exe","Microsoft Corporation","3.78125","11.00.10586.0 (th2_release.151029-1700)","11.00.10586.0","Browser_Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"1944","Microsoft.Win32.SafeHandles.SafeProcessHandle","427","5660",".","0","","System.Diagnostics.ProcessModule (browser_broker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20720","20720","7225344","7225344","342256","342256","7487488","7487488","27865088","27865088","192266240","2233575260160","True","Normal","7225344","7225344","00:00:02.7500000","browser_broker","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:07:12 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.7812500","00:00:01.0312500","174002176","2233556996096","False",,,,"17559552","17559552",,
"Calculator","1","378","299462656","532480","17809408","21520","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1608.2213.0_x64__8wekyb3d8bbwe\Calculator.exe","Microsoft Corporation","0.265625","10.1608.1608.08003","10.1608.160808003","Calculator.exe","Microsoft Calculator","Process","8",,"False",,"1940","Microsoft.Win32.SafeHandles.SafeProcessHandle","378","7316",".","919142","Calculator","System.Diagnostics.ProcessModule (Calculator.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21520","21520","17809408","17809408","418576","418576","20123648","20123648","45641728","45641728","302616576","302616576","True","Normal","17809408","17809408","00:00:00.0937500","Calculator","15","False","1","System.Diagnostics.ProcessStartInfo","9/14/2016 7:17:00 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2656250","00:00:00.1718750","299462656","299462656","False",,,,"532480","532480",,
"CAudioFilterAgent64","1","182","63635456","2502656","1671168","9296","C:\Program Files\CONEXANT\cAudioFilterAgent\CAudioFilterAgent64.exe","Conexant Systems, Inc.","0.625","1.7.71.0","1.7.71.0","Conexant High Definition Audio Filter Agent","Conexant High Definition Audio Filter Agent","Process","8",,"False",,"2028","Microsoft.Win32.SafeHandles.SafeProcessHandle","182","5604",".","0","","System.Diagnostics.ProcessModule (CAudioFilterAgent64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9296","9296","1671168","1671168","119736","119736","1892352","1892352","7585792","7585792","66256896","66256896","True","Normal","1671168","1671168","00:00:00.5312500","CAudioFilterAgent64","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:07:18 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.6250000","00:00:00.0937500","63635456","63635456","False",,,,"2502656","2502656",,
"chrome","1","1684","815280128","54517760","153186304","69720","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","880.828125","52.0.2743.116","52.0.2743.116","Google Chrome","Google Chrome","Process","8",,"False",,"2124","Microsoft.Win32.SafeHandles.SafeProcessHandle","1684","996",".","460436","Index. ggplot2 2.1.0 - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","69720","69720","153186304","153186304","1365120","1365120","158547968","158547968","126922752","126922752","858038272","858038272","True","Normal","153186304","153186304","00:03:55.5937500","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:07:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:14:40.8281250","00:10:45.2343750","815280128","815280128","False",,,,"54517760","54517760",,
"chrome","1","367","576249856","53547008","146812928","44592","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","404.609375","52.0.2743.116","52.0.2743.116","Google Chrome","Google Chrome","Process","4",,"False",,"2160","Microsoft.Win32.SafeHandles.SafeProcessHandle","367","1316",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","44592","44592","146812928","146812928","677416","677416","185466880","185466880","234475520","234475520","615702528","615702528","True","Idle","146812928","146812928","00:00:38.0625000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 10:11:01 PM",,"System.Diagnostics.ProcessThreadCollection","00:06:44.6093750","00:06:06.5468750","576249856","576249856","False",,,,"53547008","53547008",,
"chrome","1","264","266186752","27373568","64151552","27320","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","216.453125","52.0.2743.116","52.0.2743.116","Google Chrome","Google Chrome","Process","4",,"False",,"2192","Microsoft.Win32.SafeHandles.SafeProcessHandle","264","5712",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27320","27320","64151552","64151552","324128","324128","77701120","77701120","83828736","83828736","272740352","272740352","True","Idle","64151552","64151552","00:00:36.3437500","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:29:59 PM",,"System.Diagnostics.ProcessThreadCollection","00:03:36.4531250","00:03:00.1093750","266186752","266186752","False",,,,"27373568","27373568",,
"chrome","1","179","79183872","1523712","1490944","9056","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.125","52.0.2743.116","52.0.2743.116","Google Chrome","Google Chrome","Process","8",,"False",,"2224","Microsoft.Win32.SafeHandles.SafeProcessHandle","179","6260",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9056","9056","1490944","1490944","146392","146392","1622016","1622016","6221824","6221824","81805312","81805312","True","Normal","1490944","1490944","00:00:00.0781250","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:07:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0468750","79183872","79183872","False",,,,"1523712","1523712",,
"chrome","1","490","380936192","6623232","68001792","34016","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","298.75","52.0.2743.116","52.0.2743.116","Google Chrome","Google Chrome","Process","8",,"False",,"2256","Microsoft.Win32.SafeHandles.SafeProcessHandle","490","6564",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","34016","34016","68001792","68001792","615808","615808","80908288","80908288","94154752","94154752","420900864","420900864","True","Normal","68001792","68001792","00:01:23.2031250","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:07:25 PM",,"System.Diagnostics.ProcessThreadCollection","00:04:58.7500000","00:03:35.5468750","380936192","380936192","False",,,,"6623232","6623232",,
"chrome","1","380","835272704","28442624","149159936","49080","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","844.21875","52.0.2743.116","52.0.2743.116","Google Chrome","Google Chrome","Process","4",,"False",,"2288","Microsoft.Win32.SafeHandles.SafeProcessHandle","380","7180",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","49080","49080","149159936","149159936","998848","998848","282693632","282693632","520409088","520409088","962502656","962502656","True","Idle","149159936","149159936","00:01:19.4375000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","9/14/2016 6:31:56 PM",,"System.Diagnostics.ProcessThreadCollection","00:14:04.2187500","00:12:44.7812500","835272704","835272704","False",,,,"28442624","28442624",,
