#TYPE System.Diagnostics.EventLogEntry#system/EventLog/2147489661
"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"6013","thig1","System.Byte[]","12339","(0)","0","Information","The system uptime is 635957 seconds.","EventLog","System.String[]","2147489661","9/21/2016 12:00:00 PM","9/21/2016 12:00:00 PM",,,
"19","thig1","System.Byte[]","12338","(1)","1","Information","Installation Successful: Windows successfully installed the following update: Twitter","Microsoft-Windows-WindowsUpdateClient","System.String[]","19","9/21/2016 8:20:27 AM","9/21/2016 8:20:27 AM","NT AUTHORITY\SYSTEM",,
"16","thig1","System.Byte[]","12337","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'154', '\??\C:\Users\Destiny\AppData\Local\Packages\9E2F88E3.Twitter_wgeqdkkx372wm\9E2F88E3.Twitter_5.3.3.0_x86__wgeqdkkx372wm\ActivationStore\ActivationStore.dat', '0', '0'","Microsoft-Windows-Kernel-General","System.String[]","16","9/21/2016 8:20:25 AM","9/21/2016 8:20:25 AM","THIG1\Destiny",,
"43","thig1","System.Byte[]","12336","(1)","1","Information","Installation Started: Windows has started installing the following update: Twitter","Microsoft-Windows-WindowsUpdateClient","System.String[]","43","9/21/2016 8:20:23 AM","9/21/2016 8:20:23 AM","NT AUTHORITY\SYSTEM",,
"44","thig1","System.Byte[]","12335","(1)","1","Information","Windows Update started downloading an update.","Microsoft-Windows-WindowsUpdateClient","System.String[]","44","9/21/2016 8:19:55 AM","9/21/2016 8:19:55 AM","NT AUTHORITY\SYSTEM",,
"19","thig1","System.Byte[]","12334","(1)","1","Information","Installation Successful: Windows successfully installed the following update: Feature update to Windows 10, version 1607","Microsoft-Windows-WindowsUpdateClient","System.String[]","19","9/21/2016 8:11:57 AM","9/21/2016 8:11:57 AM","NT AUTHORITY\SYSTEM",,
"7040","thig1","System.Byte[]","12333","(0)","0","Information","The start type of the Update Orchestrator Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","9/21/2016 8:11:57 AM","9/21/2016 8:11:57 AM","NT AUTHORITY\SYSTEM",,
"16","thig1","System.Byte[]","12332","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'93', '\??\C:\$WINDOWS.~BT\Sources\SafeOS\SafeOS.Mount\Windows\system32\smi\store\Machine\schema.dat', '4554', '904'","Microsoft-Windows-Kernel-General","System.String[]","16","9/21/2016 8:10:17 AM","9/21/2016 8:10:17 AM","NT AUTHORITY\SYSTEM",,
"16","thig1","System.Byte[]","12331","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'72', '\??\C:\$WINDOWS.~BT\Sources\SafeOS\SafeOS.Mount\Users\Default\ntuser.dat', '102', '9'","Microsoft-Windows-Kernel-General","System.String[]","16","9/21/2016 8:10:16 AM","9/21/2016 8:10:16 AM","NT AUTHORITY\SYSTEM",,
"16","thig1","System.Byte[]","12330","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'79', '\??\C:\$WINDOWS.~BT\Sources\SafeOS\SafeOS.Mount\Windows\system32\config\DRIVERS', '11424', '492'","Microsoft-Windows-Kernel-General","System.String[]","16","9/21/2016 8:10:10 AM","9/21/2016 8:10:10 AM","NT AUTHORITY\SYSTEM",,
